rank,name,effort,harness,vendor,openWeight,overall,dualVqa,latentSim,layout,motion,costUsd,runtimeMin,object_counting,object_abs_distance,object_size_estimation,room_size_estimation,object_rel_distance,object_rel_direction,route_planning,obj_appearance_order
1,GPT-6 Astra,high,mini-BVB,OpenAI,False,70.06952588909638,53.69458128078818,88.62056715620888,87.26660832762718,89.97452598479059,1.2581534722222223,14.000063657407408,48.5,33.52601156069364,73.68421052631578,33.07692307692307,48.96265560165975,50.0,54.83870967741935,36.0
2,Claude Opus 5.5,xhigh,mini-BVB,Anthropic,False,69.82971481702575,56.595511767925565,84.45309141857756,83.1950175265471,85.71116531060802,1.9503506944444453,13.819953703703714,40.5,45.08670520231214,73.68421052631578,46.92307692307692,48.13278008298755,59.068627450980394,59.13978494623656,20.0
3,GPT-5.6 Sol,xhigh,mini-BVB,OpenAI,False,67.49240621094218,51.724137931034484,85.35547884595063,83.9862691445483,86.72468854735294,0.7780295138888889,4.955966435185186,38.0,39.884393063583815,68.98496240601504,53.07692307692308,43.56846473029046,50.73529411764706,47.31182795698925,16.0
4,Grok-4.6,xhigh,mini-BVB,xAI,False,67.16983658201647,52.052545155993435,84.21175443670816,82.91246203912628,85.51104683429003,1.682324738675958,35.514483159117304,40.5,42.19653179190752,66.16541353383458,46.92307692307692,42.738589211618255,52.450980392156865,59.13978494623656,24.0
5,Qwen3.8-Max,high,mini-BVB,Alibaba,False,66.24332537644972,52.70935960591133,81.32214803869525,79.85160919941134,82.79268687797916,0.5994690972222222,12.88896412037037,42.5,37.57225433526011,65.78947368421053,45.38461538461539,38.589211618257266,56.127450980392155,72.04301075268818,30.0
6,Claude Opus 5,high,mini-BVB,Anthropic,False,66.20507071333094,52.59989053092501,81.3734162495368,79.80317287147045,82.94365962760317,2.1573673611111115,7.96765625,42.0,46.24277456647399,66.35338345864662,43.84615384615385,43.983402489626556,51.9607843137255,65.59139784946237,16.0
7,GPT-5.6 Sol,high,mini-BVB,OpenAI,False,65.72793821114625,49.75369458128079,83.9225257617525,82.5258327725654,85.3192187509396,0.41921006944444444,2.2054513888888887,34.5,37.57225433526011,65.0375939849624,40.76923076923077,37.75933609958506,52.20588235294118,63.44086021505376,26.0
8,GPT-5.6 Terra,xhigh,mini-BVB,OpenAI,False,64.79311087858335,48.87794198139026,82.94760312936786,81.58898904091782,84.3062172178179,0.23456875000000002,4.764716435185185,33.0,30.63583815028902,65.78947368421053,43.07692307692308,40.24896265560166,50.73529411764706,62.365591397849464,12.0
9,GPT-5.6 Terra,high,mini-BVB,OpenAI,False,64.758608077261,49.2063492063492,82.44318425034484,80.97579833120108,83.91057016948858,0.12239131944444444,3.366707175925926,37.5,34.104046242774565,66.16541353383458,45.38461538461539,30.29045643153527,52.450980392156865,63.44086021505376,16.0
10,GPT-5.5,high,mini-BVB,OpenAI,False,64.53366944996314,49.315818281335524,81.79480381982607,80.38376710481114,83.20584053484103,0.9555402777777778,6.7729282407407405,34.5,34.68208092485549,65.78947368421053,46.15384615384615,37.75933609958506,50.49019607843137,63.44086021505376,12.0
11,GPT-5.6 Sol,none,mini-BVB,OpenAI,False,64.09047686086107,49.48002189381499,80.5883585061464,79.13887521458996,82.03784179770284,0.21160798611111112,1.1960416666666667,31.0,36.99421965317919,67.10526315789474,37.69230769230769,40.24896265560166,50.73529411764706,61.29032258064516,22.0
12,GPT-5.6 Sol,medium,mini-BVB,OpenAI,False,64.00823724405734,48.54953475643131,81.60014761508339,80.13214371167123,83.06815151849555,0.2712982638888889,1.6016724537037037,35.0,40.46242774566474,64.28571428571429,33.84615384615385,41.078838174273855,48.03921568627451,61.29032258064516,18.0
13,GLM-5.3-Flash,xhigh,mini-BVB,Zhipu AI,True,63.96395789434773,50.79365079365079,78.65078270228373,77.0428883532683,80.25867705129914,0.024015277777777774,6.40572337962963,35.0,38.15028901734104,64.47368421052632,46.15384615384615,46.88796680497925,51.71568627450981,54.83870967741935,28.000000000000004
14,GPT-5.6 Luna,high,mini-BVB,OpenAI,False,63.57854915049406,48.1663929939792,81.12659674758712,79.59443574978245,82.6587577453918,0.0795326388888889,1.0248726851851853,28.499999999999996,36.41618497109826,65.22556390977444,34.61538461538461,37.344398340248965,54.41176470588235,54.83870967741935,10.0
15,Muse Spark 1.3,xhigh,mini-BVB,Meta,False,63.399518971809,48.93267651888342,79.73728200627697,78.30035938984818,81.17420462270579,0.22903715277777778,6.651898148148148,35.0,36.41618497109826,64.09774436090225,35.38461538461539,40.24896265560166,51.225490196078425,62.365591397849464,20.0
16,GPT-5.6 Sol,low,mini-BVB,OpenAI,False,63.22739418973951,48.98741105637657,79.28175566097102,77.77365140823854,80.78985991370347,0.19971006944444444,1.0431944444444445,28.499999999999996,41.040462427745666,62.96992481203007,35.38461538461539,39.41908713692946,54.41176470588235,62.365591397849464,22.0
17,Grok-4.5,high,mini-BVB,xAI,False,62.80898775641755,48.44006568144499,79.04160443900359,77.64668123175701,80.4365276462502,0.3004131944444445,2.1588541666666665,35.0,39.30635838150289,64.09774436090225,42.30769230769231,39.83402489626556,47.30392156862745,59.13978494623656,14.000000000000002
18,GPT-5.5,low,mini-BVB,OpenAI,False,62.801557889208375,49.64422550629447,77.50374177056882,75.97261441664564,79.03486912449202,0.3202409722222222,1.7130497685185186,35.0,33.52601156069364,61.8421052631579,42.30769230769231,44.81327800829876,54.41176470588235,55.91397849462365,26.0
19,GPT-5.5,medium,mini-BVB,OpenAI,False,62.557849030491006,46.85276409414341,80.52901646329296,79.13321699533198,81.92481593125396,0.5615826388888889,4.142430555555555,25.5,35.83815028901734,63.90977443609023,41.53846153846154,37.75933609958506,50.0,51.61290322580645,12.0
20,GPT-5.6 Terra,medium,mini-BVB,OpenAI,False,62.425705862000285,48.1663929939792,78.53126417742007,76.96451374019185,80.09801461464829,0.14860416666666668,8.420792824074075,36.0,34.104046242774565,62.40601503759399,39.23076923076923,43.15352697095436,47.30392156862745,55.91397849462365,34.0
21,Claude Sonnet 4.6,none,mini-BVB,Anthropic,False,62.37424891314049,50.629447181171315,75.34303629977835,73.79323631111119,76.89283628844552,0.43152118055555555,2.9241377314814816,30.5,36.99421965317919,63.90977443609023,43.84615384615385,43.15352697095436,57.35294117647059,62.365591397849464,14.000000000000002
22,Gemini 3.1 Pro,high,mini-BVB,Google,False,62.22844167508414,51.06732348111659,74.49175701476634,72.90343395951722,76.08008007001546,0.666754861111111,6.176608796296296,30.0,44.50867052023121,65.22556390977444,43.07692307692308,41.078838174273855,55.14705882352941,63.44086021505376,20.0
23,Gemini 3.8 Flash,high,mini-BVB,Google,False,62.078553756399046,48.44006568144499,77.40654868798124,76.02404565032985,78.78905172563262,0.6276704861111111,10.625543981481481,41.5,35.83815028901734,65.41353383458647,37.69230769230769,42.738589211618255,44.85294117647059,51.61290322580645,18.0
24,GPT-5.6 Luna,medium,mini-BVB,OpenAI,False,61.61744761945126,46.52435686918446,78.82740399347514,77.1961266006757,80.4586813862746,0.04731006944444444,0.567337962962963,23.0,31.79190751445087,62.21804511278195,35.38461538461539,41.90871369294606,52.450980392156865,53.76344086021505,14.000000000000002
25,Claude Sonnet 5,none,mini-BVB,Anthropic,False,61.24108179042601,49.2063492063492,74.5910759911769,72.91295298685631,76.26919899549749,0.6436145833333333,3.152644675925926,30.0,39.884393063583815,62.40601503759399,36.15384615384615,40.66390041493776,54.90196078431373,64.51612903225806,18.0
